ID;Esti...;Care este varsta ta in ani impliniti?;Locuiesti in mediul...;in ce judet locuiesti?;Cu ce frecventa te uiti la televizor? *Raspuns unic.*;Care este ultima forma de invatamant pe care ai absolvit-o?;Care este starea ta civila?;Ai copii?;Cati copii ai?;Cate persoane locuiesc cu tine permanent (nu doar in vizita)? Daca locuiesti singur(a), scrie 0.;Care este ocupatia ta curenta?;incadreaza venitul tau total net in una dintre categoriile urmatoare:;in ce masura iti place sau nu aceasta reclama?;si in ce masura simti ca ti se adreseaza/ se potriveste pentru tine personal, serviciul promovat?;Voi contracta serviciile Brand 3;Cum consideri pretul de *24.6 Ron (5 euro) / luna* pentru *un abonament lunar al serviciului de streaming al Brand 3?;Cum consideri pretul de *39.4 Ron (8 euro) / luna* pentru un abonament lunar de *daca ar include si continut suplimentar?*;Folosind o scala de la 0 la 10, in ce masura ai recomanda familiei, prietenilor, cunoscutilor *furnizorul de televiziune pe care il folosesti in prezent*?;Intentionezi ca in urmatoarele 6 luni sa schimbi furnizorul actual de servicii de televiziune? *Raspuns unic.*;Pe langa serviciile de televiziune traditionala, in ce masura iei in considerare contractarea serviciilor de televiziune online sau streaming? *Raspuns unic.*;Care *cel mai important motiv* pentru care *nu te uiti* la televizor? (Alege un singurul motiv, cel care primeaza in decizia de a nu te uita la TV.);Care este criteriul pentru care alegeti un serviciu de televiziune?;;;;;;;;;;;;;;Acasa, ce tip de televiziune urmaresti?;;;;
3928;Femeie;50;Urban;VALCEA;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;1;Refuz;3.001 - 4.000 lei;Asa si-asa;Asa si-asa;Probabil da;Prea ieftin;Prea ieftin;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;Sa aiba acoperire ampla (nu doar in Romania);;;;Televiziune prin satelit;;;
3929;Barbat;47;Rural;CALARASI;De 4-5 ori pe saptamana;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;2 copii;5;Inginer, economist, doctor, professor;Nu realizez venituri;Asa si-asa;Asa si-asa;Poate da, poate nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;;;;;;;Televiziune prin satelit;;;
3930;Barbat;35;Urban;VRANCEA;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Muncitor calificat;1.001 - 1.700 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;;;;Sa aiba semnal bun/ de calitate;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;;Televiziune prin satelit;;;
3931;Barbat;51;Urban;HUNEDOARA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;3 copii;1;Muncitor calificat;1.701 - 2.000 lei;Asa si-asa;Nu prea mi se potriveste;Poate da, poate nu;Acceptabil;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;Pretul abonamentului / serviciului;;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;;;;;;Televiziune prin satelit;;;
3932;Femeie;37;Rural;HUNEDOARA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;2;Muncitor calificat;2.001 - 3.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;Televiziune prin satelit;;Servicii de online streaming (Netflix, HBO GO etc.);
3933;Barbat;55;Urban;BACAU;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Nu lucrez;Nu realizez venituri;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Prea scump;Prea scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;;;;;;;;Televiziune prin satelit;;Servicii de online streaming (Netflix, HBO GO etc.);
3934;Barbat;54;Urban;CONSTANTA;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Inginer, economist, doctor, professor;2.001 - 3.000 lei;Asa si-asa;Nu mi se potriveste deloc;Cu siguranta da;;;8;Probabil NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Ma distrage de la alte activitati/ as pierde timpul;Grila de programe variata;;;;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;;Sa aiba oferte/ promotii;;;;;;Televiziune prin satelit;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
3935;Femeie;38;Urban;SUCEAVA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;4;Muncitor calificat;1.701 - 2.000 lei;Asa si-asa;Nu prea mi se potriveste;Poate da, poate nu;;;9;Cu siguranta il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;;;;;;;Televiziune prin satelit;;;
3936;Barbat;58;Rural;HUNEDOARA;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;4;Muncitor calificat;Nu realizez venituri;Asa si-asa;Asa si-asa;Poate da, poate nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3937;Barbat;21;Urban;CARAS-SEVERIN;Zilnic;Gimnaziu (8 clase);Uniune consensuala/ Casatorit/a;Da;4 copii;7;Nu lucrez;Sub 750 lei;Nu-mi place deloc;Asa si-asa;Probabil da;Scump;Scump;2;Probabil NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;;Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;;Televiziune prin satelit;;;
3938;Femeie;55;Rural;MEHEDINTI;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;3;Elev / Student;4.001 - 5.000 lei;Asa si-asa;Nu prea mi se potriveste;Cu siguranta nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;Rapiditatea rezolvarii problemelor tehnice;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;;Televiziune prin satelit;;;
3939;Barbat;50;Urban;BUCURESTI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;6;Nu lucrez;2.001 - 3.000 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;Sa aiba oferte/ promotii;;Sa aiba acoperire ampla (nu doar in Romania);;;;Televiziune prin satelit;;;
3940;Barbat;41;Urban;CARAS-SEVERIN;De 4-5 ori pe saptamana;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Manager / director;Nu realizez venituri;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Scump;10;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3941;Barbat;24;Urban;BUCURESTI;De 4-5 ori pe saptamana;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;5 copii;2;Muncitor calificat;751 - 1.000 lei;Asa si-asa;Asa si-asa;Probabil da;;;6;Probabil il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;;;;;;Televiziune prin satelit;;;
3942;Barbat;53;Rural;IASI;De 2-3 ori pe saptamana;Liceu (12 clase);Necasatorit/a;Da;1 copil;2;Refuz;Sub 750 lei;Asa si-asa;Nu prea mi se potriveste;Mai degraba nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;;Televiziune prin satelit;;;
3943;Barbat;45;Urban;TIMIS;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;1 copil;4;Inginer, economist, doctor, professor;1.001 - 1.700 lei;imi place mult;Mi se potriveste destul de bine;Probabil da;Acceptabil;Acceptabil;10;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;;;;;;;Televiziune prin satelit;;;
3944;Femeie;30;Urban;PRAHOVA;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Inginer, economist, doctor, professor;Refuz sa raspund;Asa si-asa;Asa si-asa;Cu siguranta da;Ieftin;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;;;Televiziune prin cablu;Televiziune prin satelit;;;
3945;Femeie;34;Rural;IALOMITA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Detin o afacere;Refuz sa raspund;Asa si-asa;Nu prea mi se potriveste;Probabil da;Scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3946;Barbat;41;Rural;NEAMT;Zilnic;Gimnaziu (8 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Muncitor calificat;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Scump;Prea scump;10;Probabil il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;;Televiziune prin satelit;;;
3947;Barbat;38;Rural;CARAS-SEVERIN;De 4-5 ori pe saptamana;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Nu lucrez;1.001 - 1.700 lei;Nu prea-mi place;Nu prea mi se potriveste;Mai degraba nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;;;Televiziune prin cablu;;;;
3948;Femeie;37;Urban;BUCURESTI;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Nu lucrez;1.001 - 1.700 lei;imi place mult;Mi se potriveste foarte bine;Poate da, poate nu;Acceptabil;Scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;Rapiditatea rezolvarii problemelor tehnice;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3949;Femeie;28;Urban;NEAMT;Zilnic;Facultate (3-5 ani);Necasatorit/a;Da;1 copil;3;Detin o afacere;1.001 - 1.700 lei;Nu prea-mi place;Nu prea mi se potriveste;Poate da, poate nu;Prea scump;Prea scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;;;
3950;Barbat;50;Urban;OLT;Zilnic;Liceu (12 clase);Necasatorit/a;Da;1 copil;3;Nu lucrez;5.001 - 6.500 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;Grila de programe variata;Multe filme/ seriale;;Sa aiba semnal bun/ de calitate;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
3951;Barbat;61;Urban;BRAILA;;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Muncitor calificat;> 8000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Acceptabil;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
3952;Barbat;15;;;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;0;Nu lucrez;1.001 - 1.700 lei;Asa si-asa;Nu prea mi se potriveste;Probabil da;Acceptabil;Scump;;;;;;;;;;;;;;;;;;;;Televiziune prin satelit;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
3953;Barbat;48;Urban;SIBIU;Zilnic;;;;;1;;751 - 1.000 lei;imi place mult;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
3954;Barbat;44;Urban;BACAU;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Muncitor calificat;1.701 - 2.000 lei;Asa si-asa;Asa si-asa;Probabil da;Prea scump;Prea scump;0;Cu siguranta il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
3955;Barbat;28;Urban;BIHOR;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Profesii liberale: architect, notar, avocat, specialist IT, etc.;Nu realizez venituri;Asa si-asa;Mi se potriveste destul de bine;Cu siguranta da;;;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3956;Barbat;41;Rural;BOTOSANI;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;0;Muncitor calificat;1.701 - 2.000 lei;Nu-mi place deloc;Nu prea mi se potriveste;Cu siguranta nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;Multe filme/ seriale;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;;Televiziune prin satelit;;;
3957;Femeie;63;Rural;BACAU;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;3;Nu lucrez;751 - 1.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
3958;Barbat;31;Urban;TIMIS;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Nu lucrez;1.001 - 1.700 lei;imi place mult;Mi se potriveste foarte bine;Probabil da;Acceptabil;Acceptabil;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
3959;Femeie;34;Urban;IASI;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;2;Muncitor calificat;Nu realizez venituri;Asa si-asa;Mi se potriveste destul de bine;Probabil da;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3960;Femeie;37;Rural;TULCEA;De 2-3 ori pe saptamana;Gimnaziu (8 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Nu lucrez;4.001 - 5.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
3961;Barbat;38;Urban;BUCURESTI;Zilnic;Gimnaziu (8 clase);Divortat/a / Separat/a;Da;2 copii;2;Refuz;1.001 - 1.700 lei;Nu prea-mi place;Nu mi se potriveste deloc;Cu siguranta nu;Scump;Scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
3962;Femeie;70;Rural;ARGES;;Facultate (3-5 ani);Necasatorit/a;Nu;;2;Manager / director;4.001 - 5.000 lei;imi place mult;Mi se potriveste destul de bine;Cu siguranta da;Acceptabil;Prea scump;10;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;Televiziune prin satelit;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
3963;Barbat;43;Urban;SIBIU;Zilnic;Refuz sa raspund;Refuz sa raspund;Da;1 copil;2;Nu lucrez;1.001 - 1.700 lei;imi place mult;Mi se potriveste foarte bine;Probabil da;Prea scump;Prea scump;;;;Nu gasesc valoare in continutul de la TV;;;;;;;;;;;;;;;Televiziune prin cablu;;;;
3964;Femeie;21;Urban;BUZAU;Zilnic;Liceu (12 clase);Vaduv/a;Nu;;4;Muncitor calificat;2.001 - 3.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Prea scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;;;Multe filme/ seriale;;;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3965;Barbat;35;Urban;MURES;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Detin o afacere;Refuz sa raspund;Asa si-asa;Asa si-asa;Mai degraba nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3966;Femeie;32;Urban;NEAMT;O data pe saptamana;Refuz sa raspund;Uniune consensuala/ Casatorit/a;Da;1 copil;1;Muncitor calificat;Nu realizez venituri;Asa si-asa;Asa si-asa;Poate da, poate nu;Scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
3967;Barbat;46;Rural;SATU MARE;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;0;Refuz;751 - 1.000 lei;Asa si-asa;Mi se potriveste destul de bine;Poate da, poate nu;Ieftin;Acceptabil;10;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
